number,resolver,resolved_at
1,['will-ww'],2020-08-21 21:31:17
2,['frank-zsy'],2020-08-19 01:03:15
3,['sunshinemingo'],2020-08-24 01:59:38
7,['frank-zsy'],2020-08-21 18:01:14
12,['frank-zsy'],2020-08-21 21:46:15
13,['frank-zsy'],2020-08-22 01:51:14
20,['frank-zsy'],2020-08-24 20:35:01
22,['heming6666'],2020-09-14 02:40:01
23,['tianyichow'],2020-08-30 18:49:47
24,['frank-zsy'],2020-08-25 19:19:05
25,['frank-zsy'],2020-10-29 05:34:43
34,['frank-zsy'],2020-08-28 22:35:01
39,['frank-zsy'],2020-08-29 01:45:01
42,['frank-zsy'],2020-08-28 06:46:49
54,['frank-zsy'],2020-09-06 20:00:01
58,['frank-zsy'],2020-09-01 17:45:01
69,[],2020-09-13 20:00:00
77,"['xiaoya-yaya', 'TieWay59', 'frank-zsy']",2020-09-13 21:38:07
80,[],2020-09-20 20:00:01
82,['sunshinemingo'],2020-10-29 05:32:57
83,['frank-zsy'],2020-09-16 04:45:01
103,"['gymgym1212', 'frank-zsy', 'sunshinemingo']",2022-03-16 17:07:48
104,[],2020-09-27 20:00:00
110,['sunshinemingo'],2020-09-28 02:09:33
116,[],2020-10-04 20:00:00
124,[],2020-10-11 20:00:00
132,"['snyk-bot', 'xgdyp']",2020-10-18 20:00:02
140,[],2020-10-25 20:00:02
153,[],2020-11-01 20:00:02
156,['frank-zsy'],2022-03-16 17:07:25
157,['frank-zsy'],2020-10-29 06:07:30
162,"['stevending1st', 'frank-zsy']",2021-06-17 05:58:02
169,[],2020-11-08 20:00:02
174,"['QuakeWang', 'frank-zsy']",2020-12-17 05:14:06
178,[],2020-11-15 20:00:01
182,['frank-zsy'],2020-11-13 06:15:08
189,[],2020-11-22 20:00:02
198,[],2020-11-29 20:00:02
204,['frank-zsy'],2020-12-16 19:08:12
205,['frank-zsy'],2020-11-27 06:15:01
206,['wengzhenjie'],2021-05-19 03:26:43
207,"['TieWay59', 'birdflyi']",2021-05-19 03:26:43
208,['xgdyp'],2020-12-17 05:12:12
209,['sunshinemingo'],2020-11-27 20:20:05
216,['wengzhenjie'],2020-12-06 22:47:32
219,[],2020-12-06 20:00:02
232,[],2020-12-13 20:00:02
247,[],2020-12-20 20:00:00
259,"['kitewu', 'heming6666', 'sunshinemingo']",2020-12-18 05:30:35
265,['frank-zsy'],2020-12-17 06:10:03
276,['chenxi112'],2022-03-16 17:08:07
277,['TieWay59'],2022-03-16 17:08:23
286,"['open-digger-bot[bot]', 'snyk-bot']",2020-12-27 20:00:00
291,['frank-zsy'],2021-05-12 19:25:41
293,['tianyichow'],2022-03-16 17:08:49
303,[],2021-01-03 20:00:00
322,[],2021-01-10 20:00:01
351,"['frank-zsy', 'king-gao']",2022-12-16 04:35:44
363,[],2021-01-17 20:00:00
368,"['open-digger-bot[bot]', 'frank-zsy']",2021-01-20 02:17:19
380,[],2021-01-24 20:00:01
398,[],2021-01-31 20:00:00
411,['open-digger-bot[bot]'],2022-03-16 17:10:36
414,[],2021-02-07 20:00:00
435,[],2021-02-14 20:00:00
457,[],2021-02-21 20:00:00
470,['frank-zsy'],2021-05-19 03:26:43
474,['frank-zsy'],2021-05-19 03:26:43
481,[],2021-03-25 05:53:07
485,['frank-zsy'],2021-05-19 03:26:43
494,['frank-zsy'],2021-05-19 00:01:52
497,"['open-digger-bot[bot]', 'frank-zsy', 'TieWay59', 'sunshinemingo']",2022-10-16 04:12:55
500,"['open-digger-bot[bot]', 'frank-zsy', 'wengzhenjie']",2022-03-16 17:11:07
502,[],2021-04-11 20:00:02
505,['open-digger-bot[bot]'],2022-03-16 17:07:02
506,['open-digger-bot[bot]'],2022-03-16 17:06:49
507,"['stevending1st', 'frank-zsy']",2021-05-13 18:12:53
508,['frank-zsy'],2023-02-23 04:50:02
509,[],2021-04-01 07:42:54
510,['frank-zsy'],2022-12-16 04:33:43
511,"['stevending1st', 'frank-zsy']",2021-05-12 19:23:48
512,"['stevending1st', 'frank-zsy']",2021-04-03 06:17:27
513,"['LawrenceHecht', 'frank-zsy']",2021-04-16 20:18:09
516,"['stevending1st', 'gymgym1212', 'bifenglin']",2022-12-16 04:35:20
521,[],2021-04-18 20:00:02
528,[],2021-04-25 20:00:02
533,[],2021-05-02 20:00:00
544,['frank-zsy'],2022-12-16 04:36:05
545,['frank-zsy'],2021-05-11 05:12:21
546,['frank-zsy'],2022-03-16 17:17:03
547,[],2021-05-09 20:00:01
551,[],2021-05-16 20:00:01
552,"['OSSome01', 'frank-zsy', 'sunshinemingo']",2022-03-16 17:15:42
556,['frank-zsy'],2021-06-01 02:39:43
557,"['open-digger-bot[bot]', 'frank-zsy']",2022-03-16 17:16:37
558,"['open-digger-bot[bot]', 'frank-zsy']",2021-06-01 06:39:06
559,[],2021-05-23 20:00:01
560,['frank-zsy'],2021-05-18 01:28:47
564,[],2021-05-30 20:00:01
566,[],2021-06-06 20:00:01
568,['frank-zsy'],2021-06-01 03:42:46
570,['frank-zsy'],2022-12-27 05:19:16
571,['frank-zsy'],2023-01-19 21:00:03
573,"['xiaoya-yaya', 'open-digger-bot[bot]', 'frank-zsy']",2023-01-17 19:24:55
574,['frank-zsy'],2023-01-26 00:20:02
575,['frank-zsy'],2023-01-25 23:45:02
576,['frank-zsy'],2023-01-25 23:17:55
577,"['frank-zsy', 'sunshinemingo']",2024-01-03 19:28:58
578,['xiaoya-yaya'],2022-06-29 23:12:45
579,['longyanz'],2022-11-09 00:10:21
580,"['open-digger-bot[bot]', 'frank-zsy']",2023-01-26 00:26:46
581,['longyanz'],2022-08-02 15:17:39
582,['longyanz'],2022-08-02 15:17:14
583,['longyanz'],2022-11-24 00:40:02
584,['longyanz'],2022-12-31 04:08:55
585,"['open-digger-bot[bot]', 'frank-zsy']",2022-06-08 20:35:32
586,['frank-zsy'],2023-01-18 19:20:03
587,['xiaoya-yaya'],2022-06-16 21:00:01
588,"['xiaoya-yaya', 'frank-zsy']",2023-01-26 22:20:02
589,['longyanz'],2022-12-13 17:18:40
590,['frank-zsy'],2022-08-03 06:29:13
591,['frank-zsy'],2023-01-27 00:50:02
592,['longyanz'],2022-11-22 17:30:02
593,"['xiaoya-yaya', 'open-digger-bot[bot]', 'xgdyp']",2023-01-17 19:31:12
594,['frank-zsy'],2022-06-21 07:40:01
597,['frank-zsy'],2021-06-07 06:53:45
598,[],2021-06-13 20:00:01
599,"['frank-zsy', 'wey-gu']",2021-06-07 00:02:42
602,['frank-zsy'],2023-01-17 18:39:39
603,[],2021-06-20 20:00:01
605,[],2021-06-27 20:00:01
607,['frank-zsy'],2022-03-16 17:03:22
610,"['stevending1st', 'frank-zsy']",2021-08-08 04:33:29
611,"['stevending1st', 'frank-zsy']",2021-06-25 01:12:00
612,"['stevending1st', 'frank-zsy', 'sunshinemingo']",2021-08-08 04:34:44
613,['open-digger-bot[bot]'],2022-12-16 04:31:51
614,"['open-digger-bot[bot]', 'sunshinemingo', 'zhaojinchao95']",2022-03-12 20:03:35
615,[],2021-07-04 20:00:01
618,[],2021-07-11 20:00:01
620,[],2021-07-18 20:00:00
622,['frank-zsy'],2021-12-26 20:40:11
623,['open-digger-bot[bot]'],2021-08-08 04:35:45
624,"['stevending1st', 'open-digger-bot[bot]', 'sunshinemingo']",2021-08-08 04:37:00
625,"['stevending1st', 'open-digger-bot[bot]']",2021-08-08 06:37:11
626,[],2021-07-25 20:00:01
629,[],2021-08-01 20:00:01
633,[],2021-08-08 20:00:01
634,"['frank-zsy', 'sunshinemingo']",2022-03-12 20:01:05
636,"['open-digger-bot[bot]', 'kongzhongsanbu']",2022-03-12 20:02:02
637,"['open-digger-bot[bot]', 'frank-zsy']",2022-03-16 17:03:06
638,"['open-digger-bot[bot]', 'frank-zsy', 'will-ww']",2023-01-17 18:53:08
640,[],2021-12-01 23:26:35
641,[],2021-08-15 20:00:01
643,[],2021-08-22 20:00:02
645,[],2021-08-29 20:00:01
647,[],2021-09-05 20:00:01
649,[],2021-09-12 20:00:01
651,[],2021-09-19 20:00:01
653,[],2021-09-26 20:00:01
655,[],2021-10-03 20:00:01
657,[],2021-10-10 20:00:01
659,[],2021-10-17 20:00:01
661,[],2021-10-24 20:00:01
664,[],2021-10-31 20:00:01
666,[],2021-11-07 20:00:01
668,[],2021-11-14 20:00:01
669,"['open-digger-bot[bot]', 'frank-zsy']",2022-03-12 20:04:48
671,['frank-zsy'],2021-11-12 05:58:25
674,[],2021-11-21 20:00:01
676,[],2021-11-28 20:00:02
677,['gymgym1212'],2021-12-07 02:09:32
680,[],2021-12-05 20:00:01
682,['frank-zsy'],2021-12-02 01:06:07
684,['frank-zsy'],2022-01-14 18:50:42
686,"['gymgym1212', 'frank-zsy']",2022-01-04 21:15:25
687,[],2021-12-12 20:00:02
688,['gymgym1212'],2022-01-14 18:50:42
690,['frank-zsy'],2022-01-14 18:50:42
691,['frank-zsy'],2022-01-14 18:50:42
693,['frank-zsy'],2022-01-14 18:50:42
694,[],2021-12-19 20:00:01
695,"['gymgym1212', 'github-actions[bot]']",2021-12-27 00:48:55
696,"['gymgym1212', 'github-actions[bot]']",2021-12-27 00:49:52
698,[],2021-12-26 20:00:01
700,[],2022-01-02 20:00:01
703,"['gymgym1212', 'github-actions[bot]']",2021-12-29 23:37:09
704,['frank-zsy'],2022-01-14 18:50:42
705,[],2022-01-09 20:00:01
707,['frank-zsy'],2022-01-06 21:09:44
710,[],2022-01-16 20:00:02
712,"['frank-zsy', 'wu-sheng']",2022-01-15 17:28:16
714,['frank-zsy'],2022-01-15 03:46:03
716,[],2022-01-23 20:00:01
717,"['open-digger-bot[bot]', 'frank-zsy']",2022-03-12 20:01:44
718,['frank-zsy'],2022-02-23 19:33:46
720,"['open-digger-bot[bot]', 'frank-zsy']",2022-11-14 19:33:54
721,['frank-zsy'],2022-03-04 19:40:14
722,['frank-zsy'],2022-03-04 19:40:14
723,[],2022-01-30 20:00:02
725,[],2022-02-06 20:00:02
727,[],2022-02-13 20:00:02
729,[],2022-02-20 20:00:02
731,[],2022-02-27 20:00:02
732,['frank-zsy'],2022-02-23 18:55:28
733,['frank-zsy'],2022-02-23 18:55:28
734,['frank-zsy'],2022-02-23 19:31:23
735,['frank-zsy'],2022-02-23 18:55:28
736,['frank-zsy'],2022-02-23 18:55:28
742,[],2022-03-06 20:00:01
749,['frank-zsy'],2022-03-04 03:50:20
751,['frank-zsy'],2022-03-04 19:05:21
753,['xiaoya-yaya'],2022-03-04 19:50:01
754,['frank-zsy'],2022-03-04 19:40:14
758,"['xiaoya-yaya', 'github-actions[bot]']",2022-03-05 03:11:19
759,['xiaoya-yaya'],2022-03-05 21:00:01
764,[],2022-03-13 20:00:01
768,['frank-zsy'],2022-03-14 04:26:44
769,['frank-zsy'],2022-03-12 17:25:25
770,"['frank-zsy', 'maninhill']",2022-03-12 03:57:59
771,"['frank-zsy', 'maninhill']",2022-03-12 07:39:16
776,['open-digger-bot[bot]'],2022-03-20 20:00:03
781,['frank-zsy'],2022-03-17 19:50:30
787,[],2022-03-27 20:00:03
788,['frank-zsy'],2022-03-22 20:29:41
789,['frank-zsy'],2022-03-22 20:29:41
790,['frank-zsy'],2022-03-22 20:29:42
791,['frank-zsy'],2022-03-22 20:29:42
793,"['gymgym1212', 'frank-zsy']",2022-03-22 22:37:19
794,['frank-zsy'],2022-07-05 08:43:52
798,[],2022-04-03 20:00:03
803,['frank-zsy'],2022-04-05 08:09:59
804,[],2022-04-10 20:00:03
811,['frank-zsy'],2022-04-06 00:24:07
813,"['gymgym1212', 'frank-zsy']",2022-12-18 02:10:55
814,['frank-zsy'],2022-08-11 06:14:56
815,[],2022-04-17 20:00:03
817,['frank-zsy'],2022-04-16 05:55:19
819,[],2022-04-24 20:00:03
822,[],2022-05-01 20:00:01
825,[],2022-05-08 20:00:03
827,['frank-zsy'],2022-05-03 02:03:32
830,['xiaoya-yaya'],2022-05-09 17:07:31
831,[],2022-05-15 20:00:04
835,"['gymgym1212', 'frank-zsy', 'antfu']",2022-06-08 17:40:35
836,[],2022-05-22 20:00:02
838,[],2022-05-29 20:00:03
841,['frank-zsy'],2022-05-30 16:12:11
842,['open-digger-bot[bot]'],2022-12-16 04:32:55
843,[],2022-06-05 20:00:02
846,['frank-zsy'],2022-05-31 00:48:07
848,['frank-zsy'],2022-05-31 21:30:51
851,['frank-zsy'],2022-06-05 04:21:38
854,[],2022-06-12 20:00:01
856,"['open-digger-bot[bot]', 'frank-zsy']",2022-06-06 00:04:52
860,['Best-Eminem'],2022-06-15 19:22:14
861,['frank-zsy'],2022-06-08 16:22:22
868,['frank-zsy'],2022-06-11 05:04:27
870,[],2022-06-19 20:00:01
872,"['gymgym1212', 'frank-zsy']",2022-12-16 04:30:10
875,['xiaoya-yaya'],2022-06-16 16:35:01
878,"['xiaoya-yaya', 'longyanz']",2023-01-27 18:40:02
879,['frank-zsy'],2022-06-17 20:54:10
880,['frank-zsy'],2022-06-17 20:54:10
881,['frank-zsy'],2022-06-17 20:54:10
882,['frank-zsy'],2022-06-17 20:54:11
884,[],2022-06-26 20:00:03
886,['xgdyp'],2022-12-01 01:40:02
887,"['bifenglin', 'frank-zsy']",2022-06-21 04:25:20
890,['frank-zsy'],2022-06-22 01:11:14
893,[],2022-07-03 20:00:02
896,"['xgdyp', 'Best-Eminem', 'frank-zsy']",2022-10-21 04:21:50
898,['frank-zsy'],2022-06-30 23:27:08
899,[],2022-07-10 20:00:01
908,['frank-zsy'],2022-07-09 01:45:04
910,[],2022-07-17 20:00:03
912,[],2022-07-24 20:00:02
914,"['open-digger-bot[bot]', 'frank-zsy', 'yoyo-wu98']",2022-07-19 01:07:33
917,['yoyo-wu98'],2022-07-21 15:28:46
919,['frank-zsy'],2022-07-31 00:23:49
920,"['longranger2', 'yoyo-wu98']",2022-07-23 05:01:29
921,"['longranger2', 'frank-zsy', 'yoyo-wu98', 'zhicheng-ning']",2022-07-31 00:25:08
922,[],2022-07-31 20:00:04
925,['frank-zsy'],2022-07-28 18:34:30
930,"['longranger2', 'frank-zsy']",2022-07-31 18:43:09
931,[],2022-08-07 20:00:02
938,[],2022-08-14 20:00:03
940,['frank-zsy'],2022-08-09 21:40:17
941,['frank-zsy'],2022-08-09 06:59:50
946,"['Best-Eminem', 'open-digger-bot[bot]', 'frank-zsy']",2022-09-13 00:36:26
947,[],2022-08-21 20:00:03
950,[],2022-08-28 20:00:04
953,[],2022-09-04 20:00:03
956,['frank-zsy'],2022-09-02 17:20:22
959,[],2022-09-11 20:00:03
961,['birdflyi'],2023-12-26 01:09:47
962,['frank-zsy'],2022-09-12 19:42:59
963,[],2022-09-18 20:00:03
966,"['zhicheng-ning', 'Best-Eminem', 'frank-zsy']",2022-09-13 00:31:21
968,['yoyo-wu98'],2022-11-22 19:35:42
971,[],2022-09-25 20:00:04
975,[],2022-10-02 20:00:04
977,"['open-digger-bot[bot]', 'will-ww']",2023-05-30 17:40:51
978,"['open-digger-bot[bot]', 'xgdyp']",2022-09-27 20:59:21
979,['xgdyp'],2022-10-11 23:22:31
981,"['Best-Eminem', 'xgdyp']",2022-10-11 21:19:24
984,[],2022-10-09 20:00:04
